高雄市鼓山區,臨海一路61-1號(鼓山消防分隊)_鼓山,C0V69
高雄市旗山區,旗甲路二段209號 - 第7河川局_圓富國中,O1V82
南投縣信義鄉,神木村 - 水保局_神木,81I53
嘉義縣竹崎鄉,光華村_石磐龍,C1M61
高雄市三民區,十全一路88號(十全消防分隊)_三民,C0V70
新竹縣新埔鎮,中正路792號(新埔國中後體育館) - 第2河川局_新埔(1),01D31
高雄市六龜區,(旗山事業區61林班)_新發,C1V59
臺中市和平區,(大安溪事業區122林班烏石坑苗圃)_烏石坑,C1F9H
嘉義縣阿里山鄉,豐山村 - 第4河川局_豐山,O1M64
嘉義縣中埔鄉,沄水村5鄰16號 - 水保局_沄水國小,81M69
宜蘭縣蘇澳鎮,永樂路1號 - 水保局_永樂國小,81U91
嘉義縣太保市,太保里31號(太保市圖書館)_太保,C0M68
南投縣信義鄉,望美村(望鄉工作站) - 第4河川局_望鄉,01H39
臺南市東山區,青山里 - 水保局_崁頭山,81O96
高雄市桃源區,建山里 - 水保局_建山國小,81V82
嘉義縣鹿草鄉,西井村287號(鹿草鄉公所)_鹿草,C0M78
臺南市東山區,高原里4鄰31號(果園)_東原,C1X04
嘉義縣義竹鄉,東光村7號(台糖東後寮農場)_東後寮,C0M52
高雄市六龜區,民治路9號(六龜消防隊)_六龜,C0V80
宜蘭縣南澳鄉,東岳村蘇花路三段209號(東澳國小)_東澳,C0U76
南投縣信義鄉,(丹大事業區10林班、瞭望台旁)_丹大,C1I05
臺南市永康區,鹽行里正南五街520巷88號_永康,46742
南投縣信義鄉,中橫同富村同和巷47號(和社分社觀測坪)_和社,C1I07
臺南市下營區,仁里里(下營國小附近)_下營,C0X06
嘉義縣阿里山鄉,達邦村21號(鄒族自然與文化中心)_達邦,C0M82
花蓮縣秀林鄉,(和平國小和中分校)_和中,C0T9D
南投縣信義鄉,東埔村(東埔派出所) - 第4河川局_東埔,01H40
彰化縣北斗鎮,斗苑路二段150號(螺陽國小)_北斗,C0G84
臺中市和平區,(雪山9.8K-9.9K)_雪山圈谷,C0F0A
新北市雙溪區,泰平村 - 翡翠水庫_太平,L1A84
南投縣水里鄉,上安村 - 水保局_上安,81I54
高雄市甲仙區,(甲仙國中後山)_甲仙,C0V25
臺南市龍崎區,崎頂里(崎頂民眾服務站) - 第6河川局_崎頂,01N86
宜蘭縣冬山鄉,南興村照安路26號(冬山國中)_冬山,C0U68
花蓮縣秀林鄉,(立霧溪事業區67林班)_大禹嶺,C0T79
南投縣鹿谷鄉,線浸林道11K附近_線浸林道,C1I51
嘉義縣番路鄉,下坑村蔡公店101號(番路鄉公所)_番路,C0M72
南投縣水里鄉,郡坑村 - 水保局_郡坑,81I55
高雄市杉林區,月眉里山仙路1號(杉林區月眉段2181號、月眉農場)_月眉,C0V26
高雄市前鎮區,漁港南二路2號_高雄,46744
高雄市杉林區,集來里 - 水保局_集來,88V56
高雄市林園區,林園北路179號(林園區公所)_林園,C0V72
臺南市白河區,六溪里5鄰26號(六溪分校) - 第5河川局_六溪,01O08
南投縣水里鄉,中山路一段515號(玉山國家公園管理處)_水里,C0I36
南投縣信義鄉,豐丘村豐丘產業道路底_豐丘,C1I29
嘉義縣六腳鄉,蒜頭村73-2號(六腳消防分隊)_六腳,C0M74
嘉義縣竹崎鄉,竹崎村舊車站79號(竹崎消防分隊)_竹崎,C0M70
南投縣仁愛鄉,守城段4地號_凌霄,C1I40
南投縣信義鄉,台21線道之人倫林道9.5K_西巒,C1I31
嘉義縣新港鄉,公園路28號(新港消防分隊)_新港,C0M79
花蓮縣光復鄉,大進村糖廠街19號(花蓮光復糖廠)_光復,C0T96
南投縣信義鄉,自強村綠美巷(內茅埔營林區23林班)_信義,C0I08
宜蘭縣蘇澳鎮,(南澳事業區11林班)_烏石鼻,C1U83
臺南市楠西區,曾文新村(曾文水庫管理局)_曾文,C0O81
南投縣水里鄉,明潭巷73號 - 水保局_大觀發電廠,81H90
臺南市南化區,玉山里 - 水保局_羌黃坑,88O95
臺南市楠西區,中興路107號(楠西國中)_楠西,C1O92
高雄市旗津區,中洲二路207號(旗津國中)_旗津,C0V50
臺南市麻豆區,興國路9號(麻豆消防分隊)_麻豆,C0X12
南投縣信義鄉,豐丘村 - 水保局_水保局豐丘,81I56
苗栗縣南庄鄉,蓬萊林道底(南庄事業區18林班)_南礦,C1E67
臺南市關廟區,中正路998號(關廟區公所)_關廟,C0X17
南投縣鹿谷鄉,內湖村(森林巷溪頭林營區、鳳凰山瞭望台旁)_溪頭,C1I10
花蓮縣花蓮市,仁愛街19號 - 第9河川局_水利署花蓮,O1T84
宜蘭縣大同鄉,(大甲溪事業區40林班、思源啞口旁)_思源,C0U73
花蓮縣鳳林鎮,鳳智里中正路二段1號(鳳林國小附近)_鳳林,C1T93
臺南市後壁區,後壁里129號(後壁圖書館)_後壁,C0X26
南投縣埔里鎮,投68/種瓜路口附近_外大坪,C1I24
宜蘭縣冬山鄉,冬山村(水利會冬山工作站) - 第1河川局_冬山,01U13
雲林縣古坑鄉,草嶺村龍頭_草嶺,C0K24
南投縣竹山鎮,大鞍里(杉林溪森林生態渡假園區收費亭附近)_杉林溪,C1I47
高雄市甲仙區,西安村中山路50號(甲仙區公所) - 第7河川局_甲仙(2),01P66
南投縣水里鄉,永興村林朋巷148號 - 水保局_永興國小,81H97
臺中市和平區,(桃山山屋叉路解說牌附近)_桃山,C0F9Y
高雄市內門區,木柵里木柵3號(木柵國小) - 第6河川局_木柵,01P19
雲林縣古坑鄉,草嶺村(永利賓館) - 第4河川局_草嶺(2),01J97
高雄市內門區,木柵里木柵3號(木柵國小)_內門,C0V36
南投縣仁愛鄉,大尖山_大尖山,C1I50
南投縣信義鄉,自強村(臺大營林區) - 第4河川局_內茅埔(2),01H78
彰化縣溪湖鎮,大竹里彰水路二段725號(湖南國小)_溪湖,C0G66
南投縣集集鎮,民生東路1號(特有生物研究保育中心)_集集,C0I38
嘉義縣竹崎鄉,沙坑村58號(沙坑國小) - 第5河川局_沙坑,01L49
嘉義縣竹崎鄉,(阿里山事業區148林班、中興苗圃)_奮起湖,C0M53
嘉義縣民雄鄉,文化路7號(民雄鄉公所)_民雄,C0M76
南投縣國姓鄉,147縣道9K附近_樟湖,C1I22
臺南市南化區,北寮里48-4號_北寮,C0O83
南投縣信義鄉,羅娜村信筆巷73號 - 水保局_羅娜國小,81H99
南投縣水里鄉,頂崁村苗圃巷2-1號 - 第4河川局_龍神橋,O1H54
彰化縣芬園鄉,楓坑村大埔崙產業道路(往台灣民俗村方向)_芬園,C0G62
南投縣仁愛鄉,(大甲溪事業區81林班、合歡山三角點附近)_合歡山頂,C0H9C
高雄市內門區,永興村頂庄9號 - 第7河川局_溝坪,O1V81
南投縣國姓鄉,北山村中正路四段34號(北山發電廠) - 第3河川局_北山(2),01H68
新北市雙溪區,泰平里8鄰大平路43號(泰平國小分校附近)_泰平,C0A55
宜蘭縣頭城鎮,協天路468號(中華電信頭城海纜站)_頭城,C1U86
嘉義縣阿里山鄉,鄉新美村 - 水保局_新美國小,81M67
宜蘭縣蘇澳鎮,港區路1號6樓(蘇澳港行政大樓)_蘇澳,46706
雲林縣莿桐鄉,和平路53號(莿桐鄉公所)_莿桐,C0K48
南投縣仁愛鄉,翠華村華岡段70地號_翠華,C1I43
苗栗縣大湖鄉,新開村新開4鄰20號_新開,C1E51
南投縣仁愛鄉,(奧萬大森林遊樂區員工宿舍)_奧萬大,C1I32
臺中市和平區,(雪山東峰停機坪旁)_雪山東峰,C0F9Z
